NO,家賃,敷金,礼金,面積,築年数,駅徒歩分,間取,方位,構造
248,64000,2,1,21.73,0,2,1K,北東,木造
249,52000,1,1,18.83,25,3,1K,南,木造
250,71000,2,1,24.94,4,4,1R,南,木造
251,60000,2,1,26.5,20,7,1K,南,木造
252,58000,1,1,18,14,11,1K,南東,木造
253,74000,2,2,25.68,0,5,1K,南,木造
254,63000,2,2,18,16,5,1K,西,木造
255,66000,1,1,19.87,11,2,1K,南,軽量鉄骨
256,54000,1,1,18,18,15,1K,南,木造
257,47000,1,1,20.5,20,2,1K,南,木造
258,72000,2,1,18.47,1,6,1K,南,木造
259,57000,1,1,19,18,9,1K,西,木造
260,62000,2,2,23.14,16,8,1K,東,木造
261,57500,2,1,16.53,14,7,1R,北,木造
262,58000,2,1,20.03,14,15,1K,南,木造
263,61000,2,1,20.82,7,10,1R,西,鉄骨造
264,55000,1,0,17.52,17,10,1K,西,軽量鉄骨
265,60000,2,1,23.5,25,3,1K,南,木造
266,65000,1,1,19.8,16,10,1K,南,木造
267,56000,2,1,20.24,16,13,1K,南,木造
268,52000,2,1,19.83,22,15,1K,南,軽量鉄骨
269,73000,2,1,24.4,16,15,1K,南西,木造
270,63000,0,0,17.42,14,10,1K,南,木造
271,56500,1,1,26.94,23,12,1K,南,木造
272,36000,2,1,17,31,15,1K,南,木造
273,60000,2,1,19,16,4,1K,南,木造
274,70000,2,1,28.56,31,9,1DK,南,軽量鉄骨
275,72000,2,1,20.7,0,2,1K,南東,木造
276,57000,2,1,25.92,24,5,1DK,南東,木造
277,69000,2,1,27.06,19,5,1DK,南,木造
278,48000,2,1,17.62,25,2,1K,東,木造
279,55000,2,1,23,24,10,1K,東,木造
280,65000,2,1,22.98,0,13,1K,南西,木造
281,70000,1,1,27,16,4,1DK,南,木造
282,65000,2,1,26.4,11,8,1K,南東,木造
283,51000,1,1,15,19,12,1R,南,木造
284,60000,1,1,15.8,19,12,1K,南,木造
285,58000,2,1,19,15,9,1R,東,木造
286,66000,2,2,27.74,2,10,1K,南西,木造
287,61000,2,1,22.68,18,10,1K,南,木造
288,62000,2,1,19.8,14,13,1K,南,木造
289,58000,2,1,19.8,17,7,1K,南,木造
290,65000,2,1,26.4,11,13,1DK,南,軽量鉄骨
291,60000,1,1,23,17,14,1DK,南,木造
292,58000,2,2,19.87,20,9,1K,南東,木造
293,62000,1,1,20.5,16,7,1K,南,木造
294,52000,1,0,18.02,25,13,1K,南東,軽量鉄骨
295,57000,1,1,21.7,20,10,1K,南,木造
296,60000,1,1,20.37,13,14,1K,西,鉄骨造
297,72000,2,1,20.7,0,2,1K,東,鉄骨造
